ID;hist_plan;data;grupa;podgrupa;sprzet;klient;region;ilosc;cena_hurt;obrot
13373;hist;112006;BI;sprzet grzejny;piekarniki;MEDIA MARKT;Sieci;266;929;244954,03
13374;hist;112006;BI;sprzet grzejny;piekarniki;NEONET;Zachod;90;929;68053,13
13375;hist;112006;BI;sprzet grzejny;piekarniki;OKAY;Sieci;9;929;4262,76
13376;hist;112006;BI;sprzet grzejny;piekarniki;PARTNER;Polnoc;28;929;14335,00
13377;hist;112006;BI;sprzet grzejny;piekarniki;PARTNER;Poludnie;118;929;100598,82
13378;hist;112006;BI;sprzet grzejny;piekarniki;PARTNER;Wschod;80;929;54479,32
13379;hist;112006;BI;sprzet grzejny;piekarniki;PARTNER;Zachod;256;929;175421,33
13380;hist;112006;BI;sprzet grzejny;plyty grzejne;;Meblarze;124;593;66497,21
13381;hist;112006;BI;sprzet grzejny;plyty grzejne;;Others;5;593;1878,81
13382;hist;112006;BI;sprzet grzejny;plyty grzejne;;Poludnie;566;593;274831,80
13383;hist;112006;BI;sprzet grzejny;plyty grzejne;;Sieci;726;593;297458,84
13384;hist;112006;BI;sprzet grzejny;plyty grzejne;;Wschod;10;593;4712,87
13385;hist;112006;BI;sprzet grzejny;plyty grzejne;AVANS;Wschod;441;593;249967,04
13386;hist;112006;BI;sprzet grzejny;plyty grzejne;AVANS;Zachod;262;593;130822,84
13387;hist;112006;BI;sprzet grzejny;plyty grzejne;BRW-SA;Meblarze;34;593;19049,79
13388;hist;112006;BI;sprzet grzejny;plyty grzejne;E-WORLD;Sieci;7;593;3044,53
13389;hist;112006;BI;sprzet grzejny;plyty grzejne;G7;Sieci;181;593;106558,03
13390;hist;112006;BI;sprzet grzejny;plyty grzejne;G7;Zachod;69;593;32736,89
13391;hist;112006;BI;sprzet grzejny;plyty grzejne;MEDIA EXPERT;Poludnie;92;593;46318,08
13392;hist;112006;BI;sprzet grzejny;plyty grzejne;MEDIA EXPERT;Zachod;31;593;11479,71
13393;hist;112006;BI;sprzet grzejny;plyty grzejne;MEDIA MARKT;Sieci;464;593;264960,99
13394;hist;112006;BI;sprzet grzejny;plyty grzejne;NEONET;Zachod;165;593;78184,39
13395;hist;112006;BI;sprzet grzejny;plyty grzejne;OKAY;Sieci;23;593;6739,03
13396;hist;112006;BI;sprzet grzejny;plyty grzejne;PARTNER;Polnoc;28;593;8237,00
13397;hist;112006;BI;sprzet grzejny;plyty grzejne;PARTNER;Poludnie;187;593;107010,51
13398;hist;112006;BI;sprzet grzejny;plyty grzejne;PARTNER;Wschod;92;593;45892,76
13399;hist;112006;BI;sprzet grzejny;plyty grzejne;PARTNER;Zachod;266;593;141786,78
13400;hist;112006;BI;zmywarki;zmywarki 45;;Meblarze;35;1493;40133,31
13401;hist;112006;BI;zmywarki;zmywarki 45;;Others;3;1493;2806,46
13402;hist;112006;BI;zmywarki;zmywarki 45;;Polnoc;14;1493;17824,89
13403;hist;112006;BI;zmywarki;zmywarki 45;;Poludnie;198;1493;167065,81
13404;hist;112006;BI;zmywarki;zmywarki 45;;Sieci;130;1493;116669,83
13405;hist;112006;BI;zmywarki;zmywarki 45;;Wschod;1;1493;1258,76
13406;hist;112006;BI;zmywarki;zmywarki 45;;Zachod;5;1493;5632,70
13407;hist;112006;BI;zmywarki;zmywarki 45;AVANS;Poludnie;41;1493;43160,81
13408;hist;112006;BI;zmywarki;zmywarki 45;AVANS;Wschod;71;1493;84827,13
13409;hist;112006;BI;zmywarki;zmywarki 45;AVANS;Zachod;16;1493;19163,69
13410;hist;112006;BI;zmywarki;zmywarki 45;BRW-SA;Meblarze;14;1493;16934,45
13411;hist;112006;BI;zmywarki;zmywarki 45;G7;Polnoc;50;1493;59427,76
13412;hist;112006;BI;zmywarki;zmywarki 45;G7;Poludnie;151;1493;171651,64
13413;hist;112006;BI;zmywarki;zmywarki 45;G7;Sieci;70;1493;75517,45
13414;hist;112006;BI;zmywarki;zmywarki 45;G7;Wschod;10;1493;12439,34
13415;hist;112006;BI;zmywarki;zmywarki 45;G7;Zachod;29;1493;32252,95
13416;hist;112006;BI;zmywarki;zmywarki 45;MEDIA EXPERT;Polnoc;1;1493;1119,39
13417;hist;112006;BI;zmywarki;zmywarki 45;MEDIA EXPERT;Poludnie;15;1493;18815,14
13418;hist;112006;BI;zmywarki;zmywarki 45;MEDIA EXPERT;Zachod;10;1493;10386,10
13419;hist;112006;BI;zmywarki;zmywarki 45;MEDIA MARKT;Sieci;48;1493;58541,08
13420;hist;112006;BI;zmywarki;zmywarki 45;NEONET;Zachod;65;1493;77083,71
13421;hist;112006;BI;zmywarki;zmywarki 45;OKAY;Sieci;1;1493;1335,70
13422;hist;112006;BI;zmywarki;zmywarki 45;PARTNER;Polnoc;4;1493;4826,18
13423;hist;112006;BI;zmywarki;zmywarki 45;PARTNER;Poludnie;107;1493;125162,78
13424;hist;112006;BI;zmywarki;zmywarki 45;PARTNER;Wschod;3;1493;3452,96
13425;hist;112006;BI;zmywarki;zmywarki 45;PARTNER;Zachod;63;1493;78265,22
13426;hist;112006;BI;zmywarki;zmywarki 60;;Meblarze;28;1445;32279,48
13427;hist;112006;BI;zmywarki;zmywarki 60;;Others;7;1445;5986,46
13428;hist;112006;BI;zmywarki;zmywarki 60;;Polnoc;14;1445;17772,02
13429;hist;112006;BI;zmywarki;zmywarki 60;;Poludnie;225;1445;210863,94
13430;hist;112006;BI;zmywarki;zmywarki 60;;Sieci;66;1445;75330,86
13431;hist;112006;BI;zmywarki;zmywarki 60;;Wschod;1;1445;1208,97
13432;hist;112006;BI;zmywarki;zmywarki 60;;Zachod;1;1445;1193,84
13433;hist;112006;BI;zmywarki;zmywarki 60;AVANS;Poludnie;16;1445;21090,39
13434;hist;112006;BI;zmywarki;zmywarki 60;AVANS;Wschod;48;1445;58740,88
13435;hist;112006;BI;zmywarki;zmywarki 60;AVANS;Zachod;35;1445;45111,55
13436;hist;112006;BI;zmywarki;zmywarki 60;BRW-SA;Meblarze;5;1445;6636,90
13437;hist;112006;BI;zmywarki;zmywarki 60;E-WORLD;Sieci;2;1445;2220,54
13438;hist;112006;BI;zmywarki;zmywarki 60;G7;Polnoc;51;1445;62878,15
13439;hist;112006;BI;zmywarki;zmywarki 60;G7;Poludnie;180;1445;217633,93
13440;hist;112006;BI;zmywarki;zmywarki 60;G7;Sieci;23;1445;26608,28
13441;hist;112006;BI;zmywarki;zmywarki 60;G7;Wschod;20;1445;26030,61
13442;hist;112006;BI;zmywarki;zmywarki 60;G7;Zachod;22;1445;22906,88
13443;hist;112006;BI;zmywarki;zmywarki 60;MEDIA EXPERT;Poludnie;13;1445;18058,02
13444;hist;112006;BI;zmywarki;zmywarki 60;MEDIA EXPERT;Zachod;12;1445;14957,54
13445;hist;112006;BI;zmywarki;zmywarki 60;MEDIA MARKT;Sieci;41;1445;50134,22
13446;hist;112006;BI;zmywarki;zmywarki 60;NEONET;Zachod;79;1445;98823,56
13447;hist;112006;BI;zmywarki;zmywarki 60;PARTNER;Polnoc;1;1445;1128,92
13448;hist;112006;BI;zmywarki;zmywarki 60;PARTNER;Poludnie;38;1445;49146,00
13449;hist;112006;BI;zmywarki;zmywarki 60;PARTNER;Wschod;8;1445;10239,44
13450;hist;112006;BI;zmywarki;zmywarki 60;PARTNER;Zachod;58;1445;76416,59
13451;hist;112006;FS;chlodnictwo;chlodziarki;;Others;2;693;1067,49
13452;hist;112006;FS;chlodnictwo;chlodziarki;;Polnoc;2;693;1192,00
13453;hist;112006;FS;chlodnictwo;chlodziarki;;Poludnie;20;693;12137,86
13454;hist;112006;FS;chlodnictwo;chlodziarki;;Sieci;139;693;72995,07
13455;hist;112006;FS;chlodnictwo;chlodziarki;AVANS;Poludnie;60;693;34873,20
13456;hist;112006;FS;chlodnictwo;chlodziarki;AVANS;Wschod;2;693;1245,84
13457;hist;112006;FS;chlodnictwo;chlodziarki;G7;Polnoc;5;693;2741,60
13458;hist;112006;FS;chlodnictwo;chlodziarki;G7;Sieci;10;693;5960,00
13459;hist;112006;FS;chlodnictwo;chlodziarki;MEDIA EXPERT;Polnoc;136;693;84293,90
13460;hist;112006;FS;chlodnictwo;chlodziarki;MEDIA EXPERT;Poludnie;21;693;11966,80
13461;hist;112006;FS;chlodnictwo;chlodziarki;MEDIA MARKT;Sieci;52;693;30345,58
13462;hist;112006;FS;chlodnictwo;chlodziarki;NEONET;Zachod;30;693;15768,85
13463;hist;112006;FS;chlodnictwo;chlodziarki;OKAY;Sieci;16;693;8680,00
13464;hist;112006;FS;chlodnictwo;chlodziarki;PARTNER;Wschod;8;693;5197,72
13465;hist;112006;FS;chlodnictwo;chlodziarki;PARTNER;Zachod;21;693;13578,20
13466;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;;Others;18;813;6975,61
13467;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;;Polnoc;223;813;151241,01
13468;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;;Poludnie;71;813;51974,55
13469;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;;Sieci;1936;813;1216534,83
13470;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;;Zachod;11;813;7677,54
13471;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;AVANS;Poludnie;483;813;307173,30
13472;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;AVANS;Wschod;382;813;229971,42
13473;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;AVANS;Zachod;88;813;54239,38
13474;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;E-WORLD;Sieci;2;813;1504,89
13475;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;G7;Polnoc;25;813;17268,50
13476;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;G7;Poludnie;9;813;6600,29
13477;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;G7;Sieci;191;813;121001,70
13478;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;MEDIA EXPERT;Polnoc;110;813;71500,00
13479;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;MEDIA EXPERT;Poludnie;194;813;128324,50
13480;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;MEDIA EXPERT;Zachod;40;813;26000,00
13481;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;MEDIA MARKT;Sieci;367;813;232682,05
13482;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;NEONET;Zachod;684;813;465468,54
13483;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;OKAY;Sieci;36;813;22685,00
13484;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;PARTNER;Poludnie;88;813;56116,47
13485;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;PARTNER;Wschod;35;813;26513,55
13486;hist;112006;FS;chlodnictwo;lodowki dwudrzwiowe;PARTNER;Zachod;715;813;453489,00
13487;hist;112006;FS;chlodnictwo;lodowki kombi;;Meblarze;4;1108;4264,56
13488;hist;112006;FS;chlodnictwo;lodowki kombi;;Others;73;1108;37035,22
13489;hist;112006;FS;chlodnictwo;lodowki kombi;;Polnoc;665;1108;555125,61
13490;hist;112006;FS;chlodnictwo;lodowki kombi;;Poludnie;215;1108;193909,44
13491;hist;112006;FS;chlodnictwo;lodowki kombi;;Sieci;2925;1108;2259720,89
13492;hist;112006;FS;chlodnictwo;lodowki kombi;;Zachod;32;1108;29595,42
13493;hist;112006;FS;chlodnictwo;lodowki kombi;AVANS;Poludnie;441;1108;384130,56
13494;hist;112006;FS;chlodnictwo;lodowki kombi;AVANS;Wschod;907;1108;731691,79
13495;hist;112006;FS;chlodnictwo;lodowki kombi;AVANS;Zachod;547;1108;422042,56
13496;hist;112006;FS;chlodnictwo;lodowki kombi;G7;Polnoc;56;1108;57232,26
13497;hist;112006;FS;chlodnictwo;lodowki kombi;G7;Poludnie;176;1108;138306,34
13498;hist;112006;FS;chlodnictwo;lodowki kombi;G7;Sieci;347;1108;255876,33
13499;hist;112006;FS;chlodnictwo;lodowki kombi;MEDIA EXPERT;Polnoc;256;1108;245501,64
13500;hist;112006;FS;chlodnictwo;lodowki kombi;MEDIA EXPERT;Poludnie;455;1108;380281,17
13501;hist;112006;FS;chlodnictwo;lodowki kombi;MEDIA EXPERT;Zachod;62;1108;56316,00
13502;hist;112006;FS;chlodnictwo;lodowki kombi;MEDIA MARKT;Sieci;734;1108;602275,99
13503;hist;112006;FS;chlodnictwo;lodowki kombi;NEONET;Zachod;1680;1108;1499670,02
13504;hist;112006;FS;chlodnictwo;lodowki kombi;OKAY;Sieci;106;1108;90823,72
13505;hist;112006;FS;chlodnictwo;lodowki kombi;PARTNER;Polnoc;25;1108;19824,95
13506;hist;112006;FS;chlodnictwo;lodowki kombi;PARTNER;Poludnie;475;1108;370876,55
13507;hist;112006;FS;chlodnictwo;lodowki kombi;PARTNER;Wschod;195;1108;168851,43
13508;hist;112006;FS;chlodnictwo;lodowki kombi;PARTNER;Zachod;504;1108;418729,50
13509;hist;112006;FS;chlodnictwo;zamrazarki;;Others;10;843;4653,23
13510;hist;112006;FS;chlodnictwo;zamrazarki;;Sieci;6;843;4846,79
13511;hist;112006;FS;chlodnictwo;zamrazarki;AVANS;Wschod;1;843;682,63
13512;hist;112006;FS;chlodnictwo;zamrazarki;AVANS;Zachod;4;843;2830,36
13513;hist;112006;FS;chlodnictwo;zamrazarki;G7;Polnoc;2;843;1451,14
13514;hist;112006;FS;chlodnictwo;zamrazarki;G7;Poludnie;4;843;2646,92
13515;hist;112006;FS;chlodnictwo;zamrazarki;MEDIA MARKT;Sieci;14;843;10326,62
13516;hist;112006;FS;chlodnictwo;zamrazarki;NEONET;Zachod;40;843;28601,00
13517;hist;112006;FS;chlodnictwo;zamrazarki;OKAY;Sieci;35;843;24813,90
13518;hist;112006;FS;chlodnictwo;zamrazarki;PARTNER;Wschod;4;843;2847,96
13519;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;;Meblarze;15;272;3658,29
13520;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;;Others;24;272;3490,31
13521;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;;Polnoc;210;272;44942,44
13522;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;;Poludnie;58;272;12200,80
13523;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;;Sieci;626;272;144795,10
13524;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;AVANS;Poludnie;54;272;11165,27
13525;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;AVANS;Wschod;272;272;58553,02
13526;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;AVANS;Zachod;176;272;32972,85
13527;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;G7;Polnoc;4;272;809,52
13528;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;G7;Poludnie;30;272;5598,90
13529;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;G7;Sieci;44;272;10473,90
13530;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;MEDIA EXPERT;Zachod;20;272;4100,00
13531;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;MEDIA MARKT;Sieci;877;272;188381,94
13532;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;NEONET;Zachod;202;272;43406,41
13533;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;OKAY;Sieci;58;272;12111,12
13534;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;PARTNER;Poludnie;60;272;5659,21
13535;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;PARTNER;Wschod;6;272;1228,92
13536;hist;112006;FS;mikrofalowki;mikrofalowki elektronicznie;PARTNER;Zachod;20;272;4400,00
13537;hist;112006;FS;mikrofalowki;mikrofalowki mechanicznie;;Others;14;218;1618,75
13538;hist;112006;FS;mikrofalowki;mikrofalowki mechanicznie;;Poludnie;16;218;3119,34
13539;hist;112006;FS;mikrofalowki;mikrofalowki mechanicznie;;Sieci;1591;218;233030,00
13540;hist;112006;FS;mikrofalowki;mikrofalowki mechanicznie;AVANS;Poludnie;90;218;6537,60
13541;hist;112006;FS;mikrofalowki;mikrofalowki mechanicznie;AVANS;Wschod;34;218;6341,02
13542;hist;112006;FS;mikrofalowki;mikrofalowki mechanicznie;AVANS;Zachod;208;218;34201,00
13543;hist;112006;FS;mikrofalowki;mikrofalowki mechanicznie;G7;Polnoc;3;218;550,05
13544;hist;112006;FS;mikrofalowki;mikrofalowki mechanicznie;G7;Poludnie;30;218;5055,30
13545;hist;112006;FS;mikrofalowki;mikrofalowki mechanicznie;MEDIA MARKT;Sieci;210;218;35788,53
13546;hist;112006;FS;mikrofalowki;mikrofalowki mechanicznie;NEONET;Zachod;164;218;33164,96
13547;hist;112006;FS;mikrofalowki;mikrofalowki mechanicznie;PARTNER;Poludnie;72;218;12663,20
13548;hist;112006;FS;mikrofalowki;mikrofalowki mechanicznie;PARTNER;Wschod;17;218;1523,01
13549;hist;112006;FS;mikrofalowki;mikrofalowki mechanicznie;PARTNER;Zachod;125;218;19125,00
13550;hist;112006;FS;pralki;pralki front;;Meblarze;4;1034;2903,75
13551;hist;112006;FS;pralki;pralki front;;Others;53;1034;28728,67
13552;hist;112006;FS;pralki;pralki front;;Polnoc;411;1034;318079,11
13553;hist;112006;FS;pralki;pralki front;;Poludnie;946;1034;853730,59
13554;hist;112006;FS;pralki;pralki front;;Sieci;2495;1034;1678876,48
13555;hist;112006;FS;pralki;pralki front;;Wschod;3;1034;3025,09
13556;hist;112006;FS;pralki;pralki front;AVANS;Poludnie;385;1034;302832,40
13557;hist;112006;FS;pralki;pralki front;AVANS;Wschod;1186;1034;945969,01
13558;hist;112006;FS;pralki;pralki front;AVANS;Zachod;531;1034;390585,88
13559;hist;112006;FS;pralki;pralki front;G7;Polnoc;47;1034;40150,06
13560;hist;112006;FS;pralki;pralki front;G7;Poludnie;289;1034;251958,82
13561;hist;112006;FS;pralki;pralki front;G7;Sieci;411;1034;281995,10
13562;hist;112006;FS;pralki;pralki front;G7;Zachod;2;1034;1884,63
13563;hist;112006;FS;pralki;pralki front;MEDIA EXPERT;Polnoc;394;1034;301623,02
13564;hist;112006;FS;pralki;pralki front;MEDIA EXPERT;Poludnie;322;1034;264677,27
13565;hist;112006;FS;pralki;pralki front;MEDIA EXPERT;Zachod;150;1034;115300,40
13566;hist;112006;FS;pralki;pralki front;MEDIA MARKT;Sieci;1023;1034;872360,71
13567;hist;112006;FS;pralki;pralki front;NEONET;Zachod;797;1034;725520,20
13568;hist;112006;FS;pralki;pralki front;OKAY;Sieci;215;1034;168694,38
13569;hist;112006;FS;pralki;pralki front;PARTNER;Polnoc;74;1034;54820,00
13570;hist;112006;FS;pralki;pralki front;PARTNER;Poludnie;462;1034;408798,53
13571;hist;112006;FS;pralki;pralki front;PARTNER;Wschod;511;1034;457267,58
13572;hist;112006;FS;pralki;pralki front;PARTNER;Zachod;161;1034;144783,45
13573;hist;112006;FS;sprzet grzejny;kuchnie;;Meblarze;3;923;2391,83
13574;hist;112006;FS;sprzet grzejny;kuchnie;;Others;42;923;21106,25
13575;hist;112006;FS;sprzet grzejny;kuchnie;;Polnoc;1658;923;1226878,40
13576;hist;112006;FS;sprzet grzejny;kuchnie;;Poludnie;1450;923;1084755,78
13577;hist;112006;FS;sprzet grzejny;kuchnie;;Sieci;4573;923;3338172,72
13578;hist;112006;FS;sprzet grzejny;kuchnie;AVANS;Poludnie;448;923;411512,17
13579;hist;112006;FS;sprzet grzejny;kuchnie;AVANS;Wschod;1489;923;1004102,92
13580;hist;112006;FS;sprzet grzejny;kuchnie;AVANS;Zachod;1138;923;842240,43
13581;hist;112006;FS;sprzet grzejny;kuchnie;G7;Polnoc;233;923;196740,58
13582;hist;112006;FS;sprzet grzejny;kuchnie;G7;Poludnie;448;923;369124,87
13583;hist;112006;FS;sprzet grzejny;kuchnie;G7;Sieci;322;923;224029,24
13584;hist;112006;FS;sprzet grzejny;kuchnie;G7;Wschod;8;923;5256,00
13585;hist;112006;FS;sprzet grzejny;kuchnie;G7;Zachod;36;923;29875,68
13586;hist;112006;FS;sprzet grzejny;kuchnie;MEDIA EXPERT;Polnoc;488;923;370163,45
13587;hist;112006;FS;sprzet grzejny;kuchnie;MEDIA EXPERT;Poludnie;487;923;344389,59
13588;hist;112006;FS;sprzet grzejny;kuchnie;MEDIA EXPERT;Zachod;208;923;176142,74
13589;hist;112006;FS;sprzet grzejny;kuchnie;MEDIA MARKT;Sieci;1117;923;861292,56
13590;hist;112006;FS;sprzet grzejny;kuchnie;NEONET;Zachod;3221;923;2486146,80
13591;hist;112006;FS;sprzet grzejny;kuchnie;OKAY;Sieci;117;923;90183,14
13592;hist;112006;FS;sprzet grzejny;kuchnie;PARTNER;Polnoc;87;923;67811,11
13593;hist;112006;FS;sprzet grzejny;kuchnie;PARTNER;Poludnie;480;923;367305,42
13594;hist;112006;FS;sprzet grzejny;kuchnie;PARTNER;Wschod;598;923;455059,85
13595;hist;112006;FS;sprzet grzejny;kuchnie;PARTNER;Zachod;1454;923;1112558,48
13596;hist;112006;FS;zmywarki;zmywarki 45;;Polnoc;1;1640;1443,42
13597;hist;112006;FS;zmywarki;zmywarki 45;;Poludnie;34;1640;41000,54
13598;hist;112006;FS;zmywarki;zmywarki 45;;Sieci;9;1640;9733,04
13599;hist;112006;FS;zmywarki;zmywarki 45;;Wschod;2;1640;2715,62
13600;hist;112006;FS;zmywarki;zmywarki 45;AVANS;Poludnie;5;1640;6802,55
13601;hist;112006;FS;zmywarki;zmywarki 45;AVANS;Zachod;2;1640;2386,30
13602;hist;112006;FS;zmywarki;zmywarki 45;G7;Polnoc;3;1640;2852,61
13603;hist;112006;FS;zmywarki;zmywarki 45;G7;Zachod;1;1640;995,09
13604;hist;112006;FS;zmywarki;zmywarki 45;MEDIA MARKT;Sieci;7;1640;8658,66
13605;hist;112006;FS;zmywarki;zmywarki 45;NEONET;Zachod;29;1640;35032,37
13606;hist;112006;FS;zmywarki;zmywarki 45;PARTNER;Zachod;15;1640;19053,45
13607;hist;112006;FS;zmywarki;zmywarki 60;;Others;5;1415;1840,32
13608;hist;112006;FS;zmywarki;zmywarki 60;;Poludnie;39;1415;48497,13
13609;hist;112006;FS;zmywarki;zmywarki 60;;Sieci;68;1415;74350,62
13610;hist;112006;FS;zmywarki;zmywarki 60;;Wschod;2;1415;2715,62
13611;hist;112006;FS;zmywarki;zmywarki 60;AVANS;Poludnie;12;1415;16078,67
13612;hist;112006;FS;zmywarki;zmywarki 60;AVANS;Wschod;7;1415;9064,83
13613;hist;112006;FS;zmywarki;zmywarki 60;AVANS;Zachod;7;1415;8933,88
13614;hist;112006;FS;zmywarki;zmywarki 60;G7;Polnoc;7;1415;8656,01
13615;hist;112006;FS;zmywarki;zmywarki 60;G7;Poludnie;20;1415;23543,00
13616;hist;112006;FS;zmywarki;zmywarki 60;G7;Sieci;2;1415;1875,22
13617;hist;112006;FS;zmywarki;zmywarki 60;G7;Zachod;1;1415;981,22
13618;hist;112006;FS;zmywarki;zmywarki 60;MEDIA MARKT;Sieci;52;1415;65757,14
13619;hist;112006;FS;zmywarki;zmywarki 60;NEONET;Zachod;56;1415;73341,00
13620;hist;112006;FS;zmywarki;zmywarki 60;PARTNER;Poludnie;19;1415;24795,88
13621;hist;112006;FS;zmywarki;zmywarki 60;PARTNER;Zachod;10;1415;12709,60
13622;hist;122006;BI;chlodnictwo;chlodziarki;;Meblarze;2;964;1703,35
13623;hist;122006;BI;chlodnictwo;chlodziarki;;Poludnie;9;964;7845,35
13624;hist;122006;BI;chlodnictwo;chlodziarki;;Sieci;16;964;13622,90
13625;hist;122006;BI;chlodnictwo;chlodziarki;AVANS;Poludnie;4;964;2918,06
13626;hist;122006;BI;chlodnictwo;chlodziarki;AVANS;Wschod;13;964;11019,61
13627;hist;122006;BI;chlodnictwo;chlodziarki;AVANS;Zachod;4;964;2770,80
13628;hist;122006;BI;chlodnictwo;chlodziarki;G7;Polnoc;2;964;1429,06
13629;hist;122006;BI;chlodnictwo;chlodziarki;G7;Poludnie;10;964;8358,05
13630;hist;122006;BI;chlodnictwo;chlodziarki;G7;Wschod;2;964;1510,46
13631;hist;122006;BI;chlodnictwo;chlodziarki;G7;Zachod;1;964;813,48
13632;hist;122006;BI;chlodnictwo;chlodziarki;MEDIA MARKT;Sieci;2;964;1538,86
13633;hist;122006;BI;chlodnictwo;chlodziarki;PARTNER;Polnoc;1;964;785,79
13634;hist;122006;BI;chlodnictwo;chlodziarki;PARTNER;Poludnie;11;964;9729,23
13635;hist;122006;BI;chlodnictwo;lodowki dwudrzwiowe;;Sieci;1;1164;749,42
13636;hist;122006;BI;chlodnictwo;lodowki dwudrzwiowe;;Wschod;1;1164;1118,49
13637;hist;122006;BI;chlodnictwo;lodowki dwudrzwiowe;;Zachod;1;1164;1058,00
13638;hist;122006;BI;chlodnictwo;lodowki dwudrzwiowe;G7;Poludnie;5;1164;4895,60
13639;hist;122006;BI;chlodnictwo;lodowki dwudrzwiowe;MEDIA MARKT;Sieci;2;1164;2077,55
13640;hist;122006;BI;chlodnictwo;lodowki dwudrzwiowe;PARTNER;Wschod;1;1164;1109,05
13641;hist;122006;BI;chlodnictwo;lodowki kombi;;Meblarze;60;1355;52803,85
13642;hist;122006;BI;chlodnictwo;lodowki kombi;;Others;6;1355;3113,86
13643;hist;122006;BI;chlodnictwo;lodowki kombi;;Poludnie;16;1355;18953,83
13644;hist;122006;BI;chlodnictwo;lodowki kombi;;Sieci;98;1355;100833,12
13645;hist;122006;BI;chlodnictwo;lodowki kombi;;Wschod;2;1355;2158,00
13646;hist;122006;BI;chlodnictwo;lodowki kombi;;Zachod;2;1355;2354,00
13647;hist;122006;BI;chlodnictwo;lodowki kombi;AVANS;Wschod;5;1355;5885,03
13648;hist;122006;BI;chlodnictwo;lodowki kombi;AVANS;Zachod;4;1355;4688,16
13649;hist;122006;BI;chlodnictwo;lodowki kombi;BRW-SA;Meblarze;12;1355;12301,06
13650;hist;122006;BI;chlodnictwo;lodowki kombi;G7;Polnoc;13;1355;13765,00
13651;hist;122006;BI;chlodnictwo;lodowki kombi;G7;Poludnie;158;1355;168359,12
13652;hist;122006;BI;chlodnictwo;lodowki kombi;G7;Sieci;10;1355;10507,21
13653;hist;122006;BI;chlodnictwo;lodowki kombi;G7;Zachod;56;1355;65213,98
13654;hist;122006;BI;chlodnictwo;lodowki kombi;MEDIA EXPERT;Poludnie;3;1355;3621,25
13655;hist;122006;BI;chlodnictwo;lodowki kombi;MEDIA MARKT;Sieci;48;1355;50968,21
13656;hist;122006;BI;chlodnictwo;lodowki kombi;NEONET;Zachod;14;1355;16219,42
13657;hist;122006;BI;chlodnictwo;lodowki kombi;PARTNER;Polnoc;2;1355;2256,00
13658;hist;122006;BI;chlodnictwo;lodowki kombi;PARTNER;Poludnie;49;1355;55656,26
13659;hist;122006;BI;chlodnictwo;lodowki kombi;PARTNER;Zachod;27;1355;31553,35
13660;hist;122006;BI;chlodnictwo;zamrazarki;AVANS;Poludnie;1;969;804,15
13661;hist;122006;BI;chlodnictwo;zamrazarki;PARTNER;Poludnie;1;969;809,15
13662;hist;122006;BI;mikrofalowki;mikrofalowki elektronicznie;;Meblarze;1;1141;1034,42
13663;hist;122006;BI;mikrofalowki;mikrofalowki elektronicznie;;Others;2;1141;1168,84
13664;hist;122006;BI;mikrofalowki;mikrofalowki elektronicznie;;Polnoc;1;1141;1051,96
13665;hist;122006;BI;mikrofalowki;mikrofalowki elektronicznie;;Poludnie;5;1141;5259,80
13666;hist;122006;BI;mikrofalowki;mikrofalowki elektronicznie;;Sieci;21;1141;18877,60
